"packageName","vulnerabilityID","severity"
"bash","CVE-2022-3715","LOW"
"coreutils","CVE-2016-2781","LOW"
"gpgv","CVE-2022-3219","LOW"
"libc-bin","CVE-2016-20013","LOW"
"libc6","CVE-2016-20013","LOW"
"libcap2","CVE-2023-2603","MEDIUM"
"libcap2","CVE-2023-2602","LOW"
"libncurses6","CVE-2023-29491","MEDIUM"
"libncurses6","CVE-2022-29458","LOW"
"libncursesw6","CVE-2023-29491","MEDIUM"
"libncursesw6","CVE-2022-29458","LOW"
"libpcre3","CVE-2017-11164","LOW"
"libssl3","CVE-2023-2650","MEDIUM"
"libssl3","CVE-2023-1255","LOW"
"libtinfo6","CVE-2023-29491","MEDIUM"
"libtinfo6","CVE-2022-29458","LOW"
"libzstd1","CVE-2022-4899","LOW"
"login","CVE-2023-29383","LOW"
"ncurses-base","CVE-2023-29491","MEDIUM"
"ncurses-base","CVE-2022-29458","LOW"
"ncurses-bin","CVE-2023-29491","MEDIUM"
"ncurses-bin","CVE-2022-29458","LOW"
"passwd","CVE-2023-29383","LOW"
"perl-base","CVE-2023-31484","MEDIUM"
